's-hertogenbosch	(name) 's-Hertogenbosch
afrodyta	(name) (Greek mythology) Aphrodite
afrodyzjak	(noun) aphrodisiac
afront	(noun) affront (insult)
afrontować	(verb) (transitive, obsolete) to affront (to insult)
afryka	(name) Africa
afrykanerski	(adj) (relational) Afrikaans
afrykanin	(noun) African (person)
afrykata	(noun) (phonetics) affricate
afrykańczyk	(noun) African (person)
afrykański	(adj) (relational) African
afryt	(noun) (Islam, mythology) ifrit (an evil spirit)
afta	(noun) (pathology) canker sore, aphthous stomatitis
afterpik	(noun) (nautical) afterpeak, aft peak
aftersztag	(noun) (nautical) backstay
aga	(noun) agha
agalmatolit	(noun) (mineralogy) agalmatolite, pagodite
agamia	(noun) (literary) agamy (state of being unmarried); (biology) agamy (inability to sexually reproduce) (as seen in…
agamospermia	(noun) (botany) agamospermy (asexual production of embryos and seeds)
agapa	(noun) (Christianity) agape (ritualistic feast); (Christianity) agape
agape	(noun) (Christianity) agape (a ritualistic feast); (Christianity) agape
agar	(noun) agar; agar (a type of red algae)
agar-agar	(noun) agar; agar (a type of red algae)
agarowy	(adj) (relational) agar
agat	(noun) agate (mineral)
agatowy	(adj) (relational) agate
agawa	(noun) agave, any plant of genus Agave
agd	(noun) Initialism of artykuły gospodarstwa domowego.
agencja	(noun) agency (company that performs various tasks); agency
agencja towarzyska	(noun) (euphemistic, idiomatic) escort agency, brothel
agencyjnie	(adv) agentially
agencyjny	(adj) (relational) agential, agency
agenda	(noun) branch, department (of a company or organization); agenda, schedule (lists of tasks one must do)
agenezja	(noun) (pathology) agenesis
agens	(noun) (grammar) agent (doer of the verb)
agent	(noun) (espionage) agent; (law) commission agent
agentura	(noun) (espionage) spy ring; branch office
agenturalny	(adj) (relational) spy ring
agenturowy	(adj) (dated, relational) spy ring
agitacja	(noun) (politics) agitation, agitprop, campaigning; (Middle Polish) energetic motion, movement, mobility
agitacyjnie	(adv) (politics) agitationally
agitacyjność	(noun) (politics) being agitational
agitacyjny	(adj) (relational, politics) agitation; agitational
agitator	(noun) (politics) agitator; agitator (implement for shaking or mixing)
agitatorski	(adj) (relational, politics) agitator's
agitatorstwo	(noun) (usually derogatory, politics) agitation (acts of a political agitator)
agitka	(noun) (colloquial, politics) agitprop, agitation leaflet; agitation
agitować	(verb) (transitive, Middle Polish, of topics) to agitate (to set in motion; to actuate); to agitate (to set in…
aglet	(noun) aiglet (tip on a ribbon or cord)
aglomeracja	(noun) agglomeration, metropolitan area, conurbation; (chemistry, physics) agglomeration
aglomeracyjny	(adj) (relational) agglomerational, agglomeration
aglomerat	(noun) agglomerate; (geology) agglomerate
aglomerować	(verb) (transitive, metallurgy) to sinder; (transitive, literary) to agglomerate
aglomerownia	(noun) (metallurgy) sintering plant, agglomeration plant
aglutynacja	(noun) (medicine) agglutination; (linguistics) agglutination (act of attaching suffixes to a root)
aglutynacyjnie	(adv) (linguistics, medicine) agglutinatively
aglutynacyjność	(noun) (linguistics, medicine) agglutinativeness
aglutynacyjny	(adj) (relational, medicine) agglutinative; (relational, linguistics) agglutinative
aglutynina	(noun) (medicine) agglutinin (substance that causes cells to clump)
aglutynogen	(noun) (biochemistry) agglutinogen
aglutynować	(verb) (transitive, medicine) to agglutinate; (transitive, linguistics) to agglutinate (to form through…
agnacja	(noun) agnation (consanguinity by a line of males only); (Ancient Rome) agnation
agnacki	(adj) (relational) agnate
agnacyjny	(adj) (relational) agnation
agnat	(noun) agnate; (Ancient Rome) agnate
agnatyzm	(noun) (archaic) agnation (consanguinity by a line of males only); (Ancient Rome, archaic) agnation
agnoskować	(verb) (archaic, transitive) to recognize
agnostycystyczny	(adj) agnostic
agnostycyzm	(noun) (philosophy, religion) agnosticism
agnostycznie	(adv) (philosophy, religion) agnostically
agnostyczny	(adj) (relational, philosophy, religion) agnostic
agnostyk	(noun) (philosophy, religion) agnostic
agnozja	(noun) (neurology) agnosia
agogiczny	(adj) (relational, music) agogic
agogika	(noun) (music) agogic
agon	(noun) (Ancient Greece, historical) agon (contest)
agona	(noun) (cartography, navigation) agonic line
agonadyzm	(noun) (pathology) agonadism
agonalny	(adj) (relational) agonal
agonia	(noun) agony (struggle that precedes death)
agoniczny	(adj) (relational, cartography, navigation) agonic; (obsolete) agonic, agonal
agonista	(noun) (biochemistry, pharmacology) agonist
agonistyczny	(adj) (relational, Ancient Greece) agonistic (of or relating to agons); (relational, pharmacology, biochemistry)…
agonistyka	(noun) (Ancient Greece, historical) rivalry in an agon
agora	(noun) (Ancient Greece, historical) agora (marketplace in Classical Greece); (Ancient Greece, historical) agora…
agorafobia	(noun) agoraphobia
agradacja	(noun) (geology) aggradation
agrafa	(noun) (architecture) agraffe; (Christianity) agraphon
agrafia	(noun) (pathology) agraphia
agrafka	(noun) safety pin
agrafon	(noun) (Christianity) agraphon
agramatyczny	(adj) (grammar) agrammatical, ungrammatical
agramatyzm	(noun) (pathology, grammar) agrammatism
agranulocyt	(noun) (biochemistry) agranulocyte
agranulocytoza	(noun) (pathology) agranulocytosis
agrariusz	(noun) owner of large estates; (politics, agriculture) representative advocating the owners of estates
agrarny	(adj) (relational, literary, agriculture) agrarian, agricultural (related to farming); (relational, literary)…
agrarysta	(noun) (politics, agriculture) agrarian
agrarystyczny	(adj) (relational, politics, economics) agrarian, agrarianism
agraryzm	(noun) (politics, economics) agrarianism
agrawacja	(noun) (medicine) aggravation, exacerbation (worsening of symptoms); (obsolete) aggravation, oppression, arduousness
agrawować	(verb) (transitive, medicine) to aggravate, to exacerbate (to worsen symptoms); (transitive, obsolete) to…
agregacja	(noun) aggregation
agregat	(noun) aggregate, aggregation (mass, assemblage, or sum of particulars); unit, genset (ensemble of machines that…
agregatornia	(noun) room or building power generating units
agregatować	(verb) (transitive) to aggregate machines into a single unit
agregatownia	(noun) room or building power generating units
agregatowy	(adj) (relational) aggregational, aggregative, aggregate; (relational) unit, genset (ensemble of machines that…
agresja	(noun) aggression (hostile emotions or behavior) [+ wobec (genitive) = towards whom]; (international law) war of…
agresor	(noun) aggressor (someone who shows aggression); aggressor (country that shows aggression)
agrest	(noun) European gooseberry, gooseberry (Ribes uva-crispa); (Middle Polish) fine sour wine
agrestowy	(adj) (relational) gooseberry; (Middle Polish, relational) fine sour wine
agresyjny	(adj) (relational) aggression; aggressive
agresywnie	(adv) aggressively (in a non-friendly way); aggressively (headstrong, persistently)
agresywność	(noun) aggressiveness (of a person, country, or actions); aggressiveness (headstrongness, persistence)
agresywny	(adj) aggressive (acting in a non-friendly way); aggressive (categorized by aggression)
agrobiolog	(noun) (biology, agriculture, batony) agrobiologist
agrobiologia	(noun) (agriculture, biology, botany) agrobiology
agrobiologiczny	(adj) agrobiological (of or relating to agrobiology)
agrobiznes	(noun) (business, agriculture) agribusiness, agrobusiness
agrochemia	(noun) (agriculture, chemistry) agrochemistry
agrochemiczny	(adj) (relational, agriculture, chemistry) agrochemistry; agrochemical
agrochemik	(noun) (agriculture, chemistry) agrochemist
agrochemikalia	(noun) (agriculture, chemistry) agrochemical
agroekologia	(noun) (agriculture, ecology) agroecology
agroekologiczny	(adj) (relational, agriculture, ecology) agroecology; agroecological
agroekosystem	(noun) (agriculture, ecology) agroecosystem
agrofizyka	(noun) (agriculture, physics) agrophysics
agrogaz	(noun) biogas
agrogeolog	(noun) (agriculture, geology) agrogeologist
agrogeologia	(noun) (agriculture, geology) agrogeology
agrogeologiczny	(adj) (relational, agriculture, geology) agrogeological
agroklimatologia	(noun) (agriculture, climatology) agricultural climatology
agroklimatologiczny	(adj) (relational, agriculture, climatology) agricultural climatology
agrokultura	(noun) (literary, agriculture) agriculture
agrolotnictwo	(noun) (agriculture, aviation) aerial application, crop-dusting
agrolotniczy	(adj) (relational, agriculture, aviation) aerial application, crop-dusting
agrometeorolog	(noun) (agriculture, meterology) agrometeorologist
agrometeorologia	(noun) (agriculture, meteorology) agrometeorology
agrometeorologiczny	(adj) (relational, agriculture, meterology) agrometeorology; agrometeorological
agronom	(noun) (agriculture) agronomist
agronomia	(noun) (agriculture) agronomy (science of agriculture)
agronomiczny	(adj) (relational, agriculture) agronomy; agronomic
agronomówka	(noun) (colloquial) house of an agronomist
agrotechniczny	(adj) (relational, agriculture, engineering) agricultural engineering
agrotechnik	(noun) (agriculture, engineering) agricultural engineer
agrotechnika	(noun) (agriculture, engineering) agricultural engineering
agroturysta	(noun) (agriculture, tourism) agrotourist
agroturystyczny	(adj) (relational, agriculture, tourism) agritourism; agritouristic
agroturystyka	(noun) (agriculture, tourism) agritourism
aha	(intj) aha! (showing confirmation); aha! (showing understanding)
ahistorycyzm	(noun) ahistoricism
ahistorycznie	(adv) ahistorically
ahistoryczność	(noun) ahistoricalness
ahistoryczny	(adj) ahistorical
ahistoryzm	(noun) ahistoricism
ahoj	(intj) (nautical) ahoy! (sailor's greeting)
ahumanistyczny	(adj) lacking interest for human affairs
aids	(noun) AIDS (acquired immune deficiency syndrome)
aikido	(noun) aikido
aj	(intj) oh!, whoa!
aj waj	(intj) oy vey!, oh dear!
ajatollah	(noun) (Shi'ism) ayatollah (honorific title); (Shi'ism) ayatollah (religious leader in Twelver Shi'ism)
ajencja	(noun) (business) franchise
ajencyjny	(adj) (relational, business) franchise
ajent	(noun) (law) commission agent
ajentura	(noun) (archaic) branch office (group of agents)
ajerkoniak	(noun) advocaat, eggnog
ajnsztajn	(noun) (physics) einstein (one mole of photons)
ajran	(noun) airan
ajurweda	(noun) Ayurveda (traditional Hindu alternative medicine)
ak	(name) (Roman Catholicism) Abbreviation of Akcja Katolicka.
aka	(particle) (with pseudonyms) AKA, alias
akacja	(noun) acacia (tree); acacia (wood)
akacjowy	(adj) (relational) acacia; (relational) false acacia; robinia tree, Robinia pseudoacacia
akademia	(noun) academy; academia
akademicki	(adj) (relational, not comparable) academy, academia; academic; academic (theoretical or speculative)
akademicko	(adv) academically (theoretically or speculatively); academically
akademickość	(noun) academicness; academicness (conforming to set rules and traditions)
akademiczność	(noun) (archaic) academicness; (archaic) academicness (conforming to set rules and traditions)
akademiczny	(adj) (relational, not comparable) academy, academia; academic; academic (theoretical or speculative)
akademija	(noun) (Middle Polish) Obsolete form of akademia.
akademijny	(adj) (relational) academy; academic; (relational) academia; academic
akademik	(noun) dormitory (building which houses students); dormitory (room which houses students)
akademika	(noun) (obsolete) function, ceremony
akademikowy	(adj) (relational) dormitory (building or room which houses students)
akademiowy	(adj) (relational) academy; academic; (relational) academia, academic
akademista	(noun) (archaic) academic, member of an academy
akademizacja	(noun) academization
akademizm	(noun) (art) academicism; (literary) academicism (imitation bereft of innovation)
akademizować	(verb) (transitive, literary) to academize, to make academic; (reflexive, literary) to academize, to become academic
akadyjski	(adj) (relational) Akkadian
akalkulia	(noun) (pathology) acalculia
akanie	(noun) (phonology) akanye
akant	(noun) acanthus; (architecture) acanthus
akantowate	(noun) Acanthaceae
akantowy	(adj) (relational) acanthine, acanthus; (relational, architecture) acanthus
akapit	(noun) (typography) indentation (indent made on a new section of text); (typography) paragraph (beginning of a…
akapitowy	(adj) (relational, typography) indentation (indent made on a new section of text); (relational, typography)…
akataleksa	(noun) (poetry, prosody) acatalectic
akatalektyczny	(adj) (relational, poetry, prosody) acatalectic
akatolicki	(adj) acatholic, not catholic
akatolik	(noun) (dated, religion) acatholic person
akaustobiolit	(noun) (petrology) acaustobiolith
akceleracja	(noun) (literary) acceleration (hastening of processes); (literary, education) acceleration (advancement of students)
akceleracyjny	(adj) (relational, literary) acceleration; accelerational, accelerative (hastening of processes)
akcelerator	(noun) (physics) accelerator, particle accelerator; accelerator (pedal of a car that accelerates)
akceleratorowy	(adj) (relational, physics) accelerator, particle accelerator; (relational) accelerator (pedal of a car that…
akcelerograf	(noun) accelerometer
akcelerometr	(noun) accelerometer (device used for measuring acceleration)
akcent	(noun) (phonetics) accent, stress; (typography) accent (mark placed above a letter)
akcent akutowy	(noun) (typography) acute accent (diacritic)
akcent ostry	(noun) (phonology) acute accent (rising tone)
akcentacja	(noun) (rare, phonology) accentuation (system of accenting in a given language); (rare, phonology) accentuation…
akcentacyjny	(adj) (archaic, relational, phonology) accentuation; accentual; (archaic, relational, phonology) accent; accentual
